,Plant Name,Season,Plant Type,State,Picture Link,Blooms,Zones,Sun Needs,Soil Needs,Tolerates heat,Tolerates frost,Non-invasive,Good for pressed flowers,Good for cut flowers,Deer resistant,Attracts bees,Attracts butterflies,Attracts beneficial insects,Attracts hummingbirds,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New york,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
59,Dutchman's Breeches,Spring,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/dicentra-cucullaria.jpg,Mid Spring,3 --8,Partial Shade,Well-drained,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
60,Entire Spring Snowflake,Spring,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/snowflake-5665.jpg,Early Spring,4 --8,Full Sun / Partial Shade,Well-drained,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
71,Geum,Spring,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flower-743753.jpg,Late Spring ,5 --8,All Sun Types,Well-drained,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
73,Glory of the Snow,Spring,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/star-hyacinth-682369.jpg,Early Spring,4 --9,All Sun Types,Well-drained,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
74,Goatsbeard,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/forests-geibart-167247.jpg,Entire Summer,3 --9,Partial Shade / Full Shade,Well-drained,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
78,Hepatica,Spring,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/hepatica-748456.jpg,Early Spring ,5 --8,Partial Shade / Full Shade,Well-drained,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
79,Hollyhock,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/stock-rose-380072.jpg,Mid Summer,3 --9,All Sun Types,Well-drained,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
80,Hosta,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/hosta-837182.jpg,Entire Summer,3 --9,Partial Shade / Full Shade,Well-drained,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
81,Hyacinth,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/hyacinth-21687.jpg,Mid Summer,4 --9,Full Sun,Well-drained,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
83,Impatiens,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/impatiens-666480.jpg,Early Summer ,8 --10,Partial Shade / Full Shade,Well-drained,,,1,,,,,,,,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,,,1,,1,,0,1,1,0,,1,0,1,1,1,0,1,1,,0,0
85,Jack-in-the-Pulpit,Spring,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/jack-in-the-pulpit-907415.jpg,Mid Spring ,4 --9,All Sun Types,Well-drained,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
86,Jacob’s Ladder,Spring,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/vogelaeuglein-167240.jpg,Late Spring ,3 --9,All Sun Types,Well-drained,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
90,Lavender Cotton,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/lavender-cotton-341934.jpg, Mid Summer,6 --8,Full Sun,Well-drained,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
91,Leadwort,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flowers-195967.jpg,Late Summer ,5 --8,Full Sun / Partial Shade,Well-drained,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
96,Maiden Pink,Spring,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/maiden-pink-546015.jpg,Late Spring ,3 --9,Full Sun / Partial Shade,Well-drained,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
99,Mazus,Spring,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/mazus-pumilus-flower.jpg,Late Spring ,3 --9,Full Sun / Partial Shade,Well-drained,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
114,Primrose,Spring,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flower-737864.jpg,Entire Spring,3 --8,Partial Shade,Well-drained,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
120,Sanvitalia,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flower-679333.jpg,Early Summer ,10 --11,Full Sun,Well-drained,,,1,,,,,,,,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,0,0,0,0,,,0,0,1,0,0,0,0,,0,0
123,Sea Thrift,Spring,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flowers-14448.jpg,Late Spring ,4 --8,Full Sun,Well-drained,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
125,Shooting Star,Spring,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/372840525-f193108fe4.jpg,Late Spring ,4 --8,Partial Shade / Full Shade,Well-drained,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
